feature,required,implemented,coverage_count,expected_count,coverage_percent,status,notes
Simple unit names,Translate common unit display names,Curated JSON dictionary + fallback to English,136,6413,2.1,PARTIAL,Denominator is full interactive catalog; curated set covers highest-traffic/enhanced-page units by design
Simple unit definitions,Translate unit definition sentences,Curated JSON dictionary + fallback to English,33,6413,0.5,PARTIAL,Same design rationale as unit names but narrower curation
SEO-only base units (17 claimed),Translate the 17 units claimed to be SEO-only,14/17 names + 7/17 definitions translated,14,17,82,PARTIAL,Premise is false for this repo -- all 17 are real interactive app.js units; missing names: coulomb henry siemens
SI-prefix composition,Compose <prefix><base> translated names,Implemented as a runtime composition function,n/a,n/a,n/a,IMPLEMENTED (mechanism) / PARTIAL (coverage),Works whenever both prefix and base unit are curated; bounded by the 136-unit base coverage
Square/cubic composition,Compose "square/cubic <base>" translated names,Same composition function using modifiers.square/cubic,n/a,n/a,n/a,IMPLEMENTED (mechanism) / PARTIAL (coverage),Same base-unit coverage ceiling as prefix composition
Digital units,Translate 22 digital storage unit names/definitions,Curated JSON dictionary only (not composable),11,22,50,PARTIAL,"Names 50% covered, not composable so remaining 50% is a hard ceiling without further curation"
Digital unit definitions,Translate digital storage unit definitions,Curated JSON dictionary only,4,22,18,PARTIAL,
Compound-rate composition (_per_ units),Compose translated names for ratio/rate units,No code path handles the _per_ ID pattern,0,7,0,MISSING,modifiers.per is translated in every language file but never read by any composition code; confirmed via jsdom on a density page
Compound shared definitions,Translate the 7 ratioUnits() dimension-level definitions,Not implemented,0,7,0,MISSING,e.g. "Mass per volume density." and "Distance divided by time." remain English in all 13 languages
Currency names,Translate ISO currency full names,Curated JSON dictionary,42,156,27,PARTIAL,Handoff claimed 155; repo's own currency-data.json has 156 entries; XCG not covered
Category names,Translate the 27 top-level category names,Fully curated,27,27,100,COMPLETE,
Category descriptions,Translate the 27 top-level category descriptions,Fully curated,27,27,100,COMPLETE,
Category intro templates,Translate long-form category intro prose,Not implemented,0,27,0,MISSING,Deliberately out of scope; no per-category intro prose exists to translate
Temperature variants (everyday),Translate everyday-scale temperature FAQ correctly,Generic template matches real English wording,n/a,n/a,n/a,IMPLEMENTED,Confirmed correct for simple-factor scales like Celsius/Fahrenheit-style wording
Temperature variants (historical),Translate historical-scale temperature FAQ correctly,Generic template applied but wording AND factor are wrong,0,n/a,0,PARTIAL/INCORRECT,"Confirmed via jsdom: real Delisle->Fahrenheit factor is 210.8, translated output showed 1 -- both wording and number are wrong"
usageContext,Implement usageContext dependency-key system,Not implemented at all,0,14048,0,MISSING,Zero occurrences of ""usageContext"" anywhere in the repository
FAQ universal core (q1/q2/q3/q6),Translate the universal factor/formula FAQ items,Generative templates matching by question-shape regex,n/a,n/a,n/a,PARTIAL/INCORRECT for some categories,Correct for length/mass/power/electricity spot checks; confirmed incorrect for temperature (historical); static-HTML evidence suggests incorrect for currency and fuel-economy (q2)
FAQ category-specific FAQ,Provide per-category FAQ answer variants,Not implemented -- one generic template set applied uniformly,0,n/a,0,NOT SEPARATELY IMPLEMENTED,This is the root cause of the temperature/currency/fuel-economy mismatches
FAQ pair-specific FAQ (q4 "what is a X"),Translate the per-unit "what is a X" FAQ item,Generic template bounded by curated unit names/definitions,n/a,n/a,n/a,PARTIAL,Same coverage ceiling as unit names/definitions (136/33 out of 6413)
Where-used FAQ,Translate "where is X used today" FAQ item,Bounded translation memory from the 16 enhanced pages,16,16,100,PARTIAL (bounded by design),0% coverage for any page outside the 16 enhanced pages -- documented as a deliberate, bounded sample
Difference-between FAQ,Translate "difference between X and Y" FAQ item,Bounded translation memory from the 16 enhanced pages,6,6,100,PARTIAL (bounded by design),Same bounding as where-used FAQ
Related conversion labels,Translate related-conversion link text,Fully implemented mechanism reusing deriveConversionFromPath,n/a,n/a,n/a,IMPLEMENTED (mechanism) / PARTIAL (coverage),Bounded by the same 136-unit curated name set as simple unit names
Languages supported,Support 13 non-English languages symmetrically,All 13 present with identical key structure,13,13,100,COMPLETE (structure),Per-language content coverage is partial as detailed in the unit/definition/currency rows above
English regression,Verify English pages unchanged,Confirmed -- no network fetch, no file changes, exact text restoration verified,n/a,n/a,n/a,PROTECTED,git diff shows only app.js changed; no English static HTML modified
16 enhanced pages,Protect the 16 enhanced pages from modification,Confirmed byte-identical to git HEAD,16,16,100,PROTECTED,git diff --stat against each of the 16 produces no output
XCG currency,Special-case handling for XCG,Falls back to English like any uncurated currency,0,1,0,PROTECTED (incidental, not deliberate),Not a hand-built special case -- simply outside the 42-currency curation set
Homepage / non-SEO pages,Ensure SEO hydration does not fire on non-SEO pages,seo-page body-class guard confirmed correct via jsdom,n/a,n/a,n/a,PROTECTED,Confirmed no-op on index.html
SEO sidebar,Translate sidebar chrome (favorites/recent/history/ad),Pre-existing Phase 1 feature, not part of Phase 3 scope,14,14,100,COMPLETE (pre-existing, not Phase 3),Uses TRANSLATIONS.<lang>.sidebar already committed before this session
Browser/visual/RTL validation,Validate rendering in a real browser,Not performed,0,n/a,0,SKIPPED,Explicitly out of scope per task instructions; jsdom is not a substitute
